"Hash","GroupCount","RelativePath","SizeKB"
"67FD976AB30793BD6DE35069DA03F96EB64809040B4C1A058425E2AC4928B9B8","3","_non-using\week1\dataset_clahe\labels\val\case_455.txt","0.41"
"67FD976AB30793BD6DE35069DA03F96EB64809040B4C1A058425E2AC4928B9B8","3","_non-using\week1\dataset_v2\labels\val\case_455.txt","0.41"
"5E7883B646A40F1EB3A5CB6E1BCDA3C7084A5E9789756534EA824034CA32D42B","2","_non-using\week1\dataset_clahe\labels\train\case_490.txt","1.34"
"5E7883B646A40F1EB3A5CB6E1BCDA3C7084A5E9789756534EA824034CA32D42B","2","_non-using\week1\dataset_v2\labels\train\case_490.txt","1.34"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\heads\02-23-2026","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\heads\02-24-2026","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\heads\eva+visual","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\remotes\origin\02-23-2026","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\remotes\origin\02-24-2026","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\remotes\origin\eva+visual","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\remotes\origin\HEAD","0"
"E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","8",".git\logs\refs\remotes\origin\week5-perform_pca-eigenvector-swap","0"
"F7AADECD49644CDD38D5F603207688CF0C2886B116DD8E195AE16716450F9650","2","_non-using\week1\dataset_clahe\labels\train\case_147.txt","4.29"
"F7AADECD49644CDD38D5F603207688CF0C2886B116DD8E195AE16716450F9650","2","_non-using\week1\dataset_v2\labels\train\case_147.txt","4.29"
"A2BD2C8FF210F85BE5EBBC82E954847C1262DB5E6D910C047BCC4501E2ACCCFF","2","_non-using\week1\dataset_clahe\labels\train\case_260.txt","0.94"
"A2BD2C8FF210F85BE5EBBC82E954847C1262DB5E6D910C047BCC4501E2ACCCFF","2","_non-using\week1\dataset_v2\labels\train\case_260.txt","0.94"
"B41689494DF82DAD904BC702C87D5D379A2020BE950FEF4E5172DFE853DAE150","2","_non-using\week1\dataset_clahe\labels\train\case_207.txt","3.88"
"B41689494DF82DAD904BC702C87D5D379A2020BE950FEF4E5172DFE853DAE150","2","_non-using\week1\dataset_v2\labels\train\case_207.txt","3.88"
"D6AE2B40F7AE414502AF42573441EA95A748CEF424EBD6A567AA2039B5B32906","2","_non-using\week1\dataset_clahe\labels\val\case_470.txt","1.29"
"D6AE2B40F7AE414502AF42573441EA95A748CEF424EBD6A567AA2039B5B32906","2","_non-using\week1\dataset_v2\labels\val\case_470.txt","1.29"
"008035846FF9CDC9CD25060116B77B3ED2D0436B95392FF73374E081CC03B8DD","6","data\500 cases with annotation\case 1\case_1.png","2883.99"
"008035846FF9CDC9CD25060116B77B3ED2D0436B95392FF73374E081CC03B8DD","6","docs\images\raw_panoramic_xray.png","2883.99"
"008035846FF9CDC9CD25060116B77B3ED2D0436B95392FF73374E081CC03B8DD","6","_non-using\week1\dataset\images\train\case_1.png","2883.99"
"008035846FF9CDC9CD25060116B77B3ED2D0436B95392FF73374E081CC03B8DD","6","_non-using\week1\dataset_v2\images\train\case_1.png","2883.99"
"008035846FF9CDC9CD25060116B77B3ED2D0436B95392FF73374E081CC03B8DD","6","_non-using\week4\dataset_3class\images\train\case_1.png","2883.99"
"008035846FF9CDC9CD25060116B77B3ED2D0436B95392FF73374E081CC03B8DD","6","_non-using\week4\inference_full_500\_temp_images\case_1.png","2883.99"
"64236D4909D2B29B52FD83C941B9A564EC293A7701D2F655B91ED5C2082379D1","5","data\500 cases with annotation\case 10\case_10.png","2572.4"
"64236D4909D2B29B52FD83C941B9A564EC293A7701D2F655B91ED5C2082379D1","5","_non-using\week1\dataset\images\train\case_10.png","2572.4"
"64236D4909D2B29B52FD83C941B9A564EC293A7701D2F655B91ED5C2082379D1","5","_non-using\week1\dataset_v2\images\train\case_10.png","2572.4"
"64236D4909D2B29B52FD83C941B9A564EC293A7701D2F655B91ED5C2082379D1","5","_non-using\week4\dataset_3class\images\train\case_10.png","2572.4"
"64236D4909D2B29B52FD83C941B9A564EC293A7701D2F655B91ED5C2082379D1","5","_non-using\week4\inference_full_500\_temp_images\case_10.png","2572.4"
"AEFCDBC583AF3492CE6E5D61E657F65F6EBA6C93EAC5112A7F8BCE117C1DE126","5","data\500 cases with annotation\case 100\case_100.png","2640.27"
"AEFCDBC583AF3492CE6E5D61E657F65F6EBA6C93EAC5112A7F8BCE117C1DE126","5","_non-using\week1\dataset\images\train\case_100.png","2640.27"
"AEFCDBC583AF3492CE6E5D61E657F65F6EBA6C93EAC5112A7F8BCE117C1DE126","5","_non-using\week1\dataset_v2\images\train\case_100.png","2640.27"
"AEFCDBC583AF3492CE6E5D61E657F65F6EBA6C93EAC5112A7F8BCE117C1DE126","5","_non-using\week4\dataset_3class\images\train\case_100.png","2640.27"
"AEFCDBC583AF3492CE6E5D61E657F65F6EBA6C93EAC5112A7F8BCE117C1DE126","5","_non-using\week4\inference_full_500\_temp_images\case_100.png","2640.27"
"8553DCF85B48AE69EC5E25AD8CBA3BBEA932E18532593AB82A69F4277178BEF9","5","data\500 cases with annotation\case 101\case_101.png","2825.7"
"8553DCF85B48AE69EC5E25AD8CBA3BBEA932E18532593AB82A69F4277178BEF9","5","_non-using\week1\dataset\images\val\case_101.png","2825.7"
"8553DCF85B48AE69EC5E25AD8CBA3BBEA932E18532593AB82A69F4277178BEF9","5","_non-using\week1\dataset_v2\images\val\case_101.png","2825.7"
"8553DCF85B48AE69EC5E25AD8CBA3BBEA932E18532593AB82A69F4277178BEF9","5","_non-using\week4\dataset_3class\images\val\case_101.png","2825.7"
"8553DCF85B48AE69EC5E25AD8CBA3BBEA932E18532593AB82A69F4277178BEF9","5","_non-using\week4\inference_full_500\_temp_images\case_101.png","2825.7"
"E2D6C86C063B03D15A57875BF9C60CA1906CFD824ED97B847E61B36B8637CCF3","5","data\500 cases with annotation\case 102\case_102.png","2168.91"
"E2D6C86C063B03D15A57875BF9C60CA1906CFD824ED97B847E61B36B8637CCF3","5","_non-using\week1\dataset\images\train\case_102.png","2168.91"
"E2D6C86C063B03D15A57875BF9C60CA1906CFD824ED97B847E61B36B8637CCF3","5","_non-using\week1\dataset_v2\images\train\case_102.png","2168.91"
"E2D6C86C063B03D15A57875BF9C60CA1906CFD824ED97B847E61B36B8637CCF3","5","_non-using\week4\dataset_3class\images\train\case_102.png","2168.91"
"E2D6C86C063B03D15A57875BF9C60CA1906CFD824ED97B847E61B36B8637CCF3","5","_non-using\week4\inference_full_500\_temp_images\case_102.png","2168.91"
"DBCC4BCE4180D57292D344C79A615F2E218EF013D23C5E747B3120E63F2492EC","5","data\500 cases with annotation\case 103\case_103.png","2485.41"
"DBCC4BCE4180D57292D344C79A615F2E218EF013D23C5E747B3120E63F2492EC","5","_non-using\week1\dataset\images\train\case_103.png","2485.41"
"DBCC4BCE4180D57292D344C79A615F2E218EF013D23C5E747B3120E63F2492EC","5","_non-using\week1\dataset_v2\images\train\case_103.png","2485.41"
"DBCC4BCE4180D57292D344C79A615F2E218EF013D23C5E747B3120E63F2492EC","5","_non-using\week4\dataset_3class\images\train\case_103.png","2485.41"
"DBCC4BCE4180D57292D344C79A615F2E218EF013D23C5E747B3120E63F2492EC","5","_non-using\week4\inference_full_500\_temp_images\case_103.png","2485.41"
"8197C7D24B023EB2C80189F0AECBA6F12514708B286322B532F5DC33C2FF40E3","5","data\500 cases with annotation\case 104\case_104.png","1871.21"
"8197C7D24B023EB2C80189F0AECBA6F12514708B286322B532F5DC33C2FF40E3","5","_non-using\week1\dataset\images\train\case_104.png","1871.21"
"8197C7D24B023EB2C80189F0AECBA6F12514708B286322B532F5DC33C2FF40E3","5","_non-using\week1\dataset_v2\images\train\case_104.png","1871.21"
"8197C7D24B023EB2C80189F0AECBA6F12514708B286322B532F5DC33C2FF40E3","5","_non-using\week4\dataset_3class\images\train\case_104.png","1871.21"
"8197C7D24B023EB2C80189F0AECBA6F12514708B286322B532F5DC33C2FF40E3","5","_non-using\week4\inference_full_500\_temp_images\case_104.png","1871.21"
"49119692A9D08AE4CAC95215E9A78D93783A2D01E3F628FF21255126A8306C83","5","data\500 cases with annotation\case 105\case_105.png","2210.07"
"49119692A9D08AE4CAC95215E9A78D93783A2D01E3F628FF21255126A8306C83","5","_non-using\week1\dataset\images\train\case_105.png","2210.07"
"49119692A9D08AE4CAC95215E9A78D93783A2D01E3F628FF21255126A8306C83","5","_non-using\week1\dataset_v2\images\train\case_105.png","2210.07"
"49119692A9D08AE4CAC95215E9A78D93783A2D01E3F628FF21255126A8306C83","5","_non-using\week4\dataset_3class\images\train\case_105.png","2210.07"
"49119692A9D08AE4CAC95215E9A78D93783A2D01E3F628FF21255126A8306C83","5","_non-using\week4\inference_full_500\_temp_images\case_105.png","2210.07"
"5E016BDB8E6A419860778A0D9F3DCA58BB5814345DB328EE8066A69A41D72FE1","5","data\500 cases with annotation\case 106\case_106.png","2825.84"
"5E016BDB8E6A419860778A0D9F3DCA58BB5814345DB328EE8066A69A41D72FE1","5","_non-using\week1\dataset\images\train\case_106.png","2825.84"
"5E016BDB8E6A419860778A0D9F3DCA58BB5814345DB328EE8066A69A41D72FE1","5","_non-using\week1\dataset_v2\images\train\case_106.png","2825.84"
"5E016BDB8E6A419860778A0D9F3DCA58BB5814345DB328EE8066A69A41D72FE1","5","_non-using\week4\dataset_3class\images\train\case_106.png","2825.84"
"5E016BDB8E6A419860778A0D9F3DCA58BB5814345DB328EE8066A69A41D72FE1","5","_non-using\week4\inference_full_500\_temp_images\case_106.png","2825.84"
"C86B52F642FEA92D23CA9621C74DD4DE66F56FB3B47CAE8012EFF1C0CC13B24B","5","data\500 cases with annotation\case 107\case_107.png","2447.78"
"C86B52F642FEA92D23CA9621C74DD4DE66F56FB3B47CAE8012EFF1C0CC13B24B","5","_non-using\week1\dataset\images\train\case_107.png","2447.78"
"C86B52F642FEA92D23CA9621C74DD4DE66F56FB3B47CAE8012EFF1C0CC13B24B","5","_non-using\week1\dataset_v2\images\train\case_107.png","2447.78"
"C86B52F642FEA92D23CA9621C74DD4DE66F56FB3B47CAE8012EFF1C0CC13B24B","5","_non-using\week4\dataset_3class\images\train\case_107.png","2447.78"
"C86B52F642FEA92D23CA9621C74DD4DE66F56FB3B47CAE8012EFF1C0CC13B24B","5","_non-using\week4\inference_full_500\_temp_images\case_107.png","2447.78"
"5CDDF0AF59CBE06EDDA1173CC6DD15A53D1E0F905E6DCEE39037C24600F16138","5","data\500 cases with annotation\case 108\case_108.png","2244.85"
"5CDDF0AF59CBE06EDDA1173CC6DD15A53D1E0F905E6DCEE39037C24600F16138","5","_non-using\week1\dataset\images\train\case_108.png","2244.85"
"5CDDF0AF59CBE06EDDA1173CC6DD15A53D1E0F905E6DCEE39037C24600F16138","5","_non-using\week1\dataset_v2\images\train\case_108.png","2244.85"
"5CDDF0AF59CBE06EDDA1173CC6DD15A53D1E0F905E6DCEE39037C24600F16138","5","_non-using\week4\dataset_3class\images\train\case_108.png","2244.85"
"5CDDF0AF59CBE06EDDA1173CC6DD15A53D1E0F905E6DCEE39037C24600F16138","5","_non-using\week4\inference_full_500\_temp_images\case_108.png","2244.85"
"7EF8C443D89D69A03D270005FF69AD39EB79DD96136C37562CCCE5A4AB7D936C","5","data\500 cases with annotation\case 109\case_109.png","2847.52"
"7EF8C443D89D69A03D270005FF69AD39EB79DD96136C37562CCCE5A4AB7D936C","5","_non-using\week1\dataset\images\train\case_109.png","2847.52"
"7EF8C443D89D69A03D270005FF69AD39EB79DD96136C37562CCCE5A4AB7D936C","5","_non-using\week1\dataset_v2\images\train\case_109.png","2847.52"
"7EF8C443D89D69A03D270005FF69AD39EB79DD96136C37562CCCE5A4AB7D936C","5","_non-using\week4\dataset_3class\images\train\case_109.png","2847.52"
"7EF8C443D89D69A03D270005FF69AD39EB79DD96136C37562CCCE5A4AB7D936C","5","_non-using\week4\inference_full_500\_temp_images\case_109.png","2847.52"
"1EBB3B3EDDBEC5C528F39189B95D34614F2DFB3C774A8D8F33F63331DE83B29F","5","data\500 cases with annotation\case 11\case_11.png","2356.36"
"1EBB3B3EDDBEC5C528F39189B95D34614F2DFB3C774A8D8F33F63331DE83B29F","5","_non-using\week1\dataset\images\val\case_11.png","2356.36"
"1EBB3B3EDDBEC5C528F39189B95D34614F2DFB3C774A8D8F33F63331DE83B29F","5","_non-using\week1\dataset_v2\images\val\case_11.png","2356.36"
"1EBB3B3EDDBEC5C528F39189B95D34614F2DFB3C774A8D8F33F63331DE83B29F","5","_non-using\week4\dataset_3class\images\val\case_11.png","2356.36"
"1EBB3B3EDDBEC5C528F39189B95D34614F2DFB3C774A8D8F33F63331DE83B29F","5","_non-using\week4\inference_full_500\_temp_images\case_11.png","2356.36"
"D8A588B02375507D7CA79AAB29DB4FB698B2D898AF5443DCF3511DD10C2A265A","5","data\500 cases with annotation\case 110\case_110.png","2491.91"
"D8A588B02375507D7CA79AAB29DB4FB698B2D898AF5443DCF3511DD10C2A265A","5","_non-using\week1\dataset\images\val\case_110.png","2491.91"
"D8A588B02375507D7CA79AAB29DB4FB698B2D898AF5443DCF3511DD10C2A265A","5","_non-using\week1\dataset_v2\images\val\case_110.png","2491.91"
"D8A588B02375507D7CA79AAB29DB4FB698B2D898AF5443DCF3511DD10C2A265A","5","_non-using\week4\dataset_3class\images\val\case_110.png","2491.91"
"D8A588B02375507D7CA79AAB29DB4FB698B2D898AF5443DCF3511DD10C2A265A","5","_non-using\week4\inference_full_500\_temp_images\case_110.png","2491.91"
"925CF2C7F23FDDA8DA229D0E7C965A4A34DCE9C63C753A36A1E389195418571F","5","data\500 cases with annotation\case 111\case_111.png","2593.91"
"925CF2C7F23FDDA8DA229D0E7C965A4A34DCE9C63C753A36A1E389195418571F","5","_non-using\week1\dataset\images\train\case_111.png","2593.91"
"925CF2C7F23FDDA8DA229D0E7C965A4A34DCE9C63C753A36A1E389195418571F","5","_non-using\week1\dataset_v2\images\train\case_111.png","2593.91"
"925CF2C7F23FDDA8DA229D0E7C965A4A34DCE9C63C753A36A1E389195418571F","5","_non-using\week4\dataset_3class\images\train\case_111.png","2593.91"
"925CF2C7F23FDDA8DA229D0E7C965A4A34DCE9C63C753A36A1E389195418571F","5","_non-using\week4\inference_full_500\_temp_images\case_111.png","2593.91"
"C9146CE1E68792B39819B2010365C55517636117849980CF70062A08C80F6A5E","5","data\500 cases with annotation\case 112\case_112.png","2799.73"
"C9146CE1E68792B39819B2010365C55517636117849980CF70062A08C80F6A5E","5","_non-using\week1\dataset\images\val\case_112.png","2799.73"
"C9146CE1E68792B39819B2010365C55517636117849980CF70062A08C80F6A5E","5","_non-using\week1\dataset_v2\images\val\case_112.png","2799.73"
"C9146CE1E68792B39819B2010365C55517636117849980CF70062A08C80F6A5E","5","_non-using\week4\dataset_3class\images\val\case_112.png","2799.73"
"C9146CE1E68792B39819B2010365C55517636117849980CF70062A08C80F6A5E","5","_non-using\week4\inference_full_500\_temp_images\case_112.png","2799.73"
"A4E7CDB4721FC3AC982D188529DCA51738B16533FB7B8F8B933A42719D40855E","5","data\500 cases with annotation\case 113\case_113.png","2730.71"
"A4E7CDB4721FC3AC982D188529DCA51738B16533FB7B8F8B933A42719D40855E","5","_non-using\week1\dataset\images\val\case_113.png","2730.71"
"A4E7CDB4721FC3AC982D188529DCA51738B16533FB7B8F8B933A42719D40855E","5","_non-using\week1\dataset_v2\images\val\case_113.png","2730.71"
"A4E7CDB4721FC3AC982D188529DCA51738B16533FB7B8F8B933A42719D40855E","5","_non-using\week4\dataset_3class\images\val\case_113.png","2730.71"
"A4E7CDB4721FC3AC982D188529DCA51738B16533FB7B8F8B933A42719D40855E","5","_non-using\week4\inference_full_500\_temp_images\case_113.png","2730.71"
"87CEFFE039AB745DFA3BAEAAE5A1F761A4D205E3DA5EBD88AE6B16F18AE3D291","5","data\500 cases with annotation\case 114\case_114.png","2768.08"
"87CEFFE039AB745DFA3BAEAAE5A1F761A4D205E3DA5EBD88AE6B16F18AE3D291","5","_non-using\week1\dataset\images\train\case_114.png","2768.08"
"87CEFFE039AB745DFA3BAEAAE5A1F761A4D205E3DA5EBD88AE6B16F18AE3D291","5","_non-using\week1\dataset_v2\images\train\case_114.png","2768.08"
"87CEFFE039AB745DFA3BAEAAE5A1F761A4D205E3DA5EBD88AE6B16F18AE3D291","5","_non-using\week4\dataset_3class\images\train\case_114.png","2768.08"
"87CEFFE039AB745DFA3BAEAAE5A1F761A4D205E3DA5EBD88AE6B16F18AE3D291","5","_non-using\week4\inference_full_500\_temp_images\case_114.png","2768.08"
"C55AF5E261F3844F641CB52E58DE9E982EE54EB10A5559739E31F956328BDB52","5","data\500 cases with annotation\case 115\case_115.png","2938.13"
"C55AF5E261F3844F641CB52E58DE9E982EE54EB10A5559739E31F956328BDB52","5","_non-using\week1\dataset\images\train\case_115.png","2938.13"
"C55AF5E261F3844F641CB52E58DE9E982EE54EB10A5559739E31F956328BDB52","5","_non-using\week1\dataset_v2\images\train\case_115.png","2938.13"
"C55AF5E261F3844F641CB52E58DE9E982EE54EB10A5559739E31F956328BDB52","5","_non-using\week4\dataset_3class\images\train\case_115.png","2938.13"
"C55AF5E261F3844F641CB52E58DE9E982EE54EB10A5559739E31F956328BDB52","5","_non-using\week4\inference_full_500\_temp_images\case_115.png","2938.13"
"430F028C32AD9F569C8C1B36EFCA1F98451B934CC6ABD23962F572648F4E1E85","5","data\500 cases with annotation\case 116\case_116.png","2967.98"
"430F028C32AD9F569C8C1B36EFCA1F98451B934CC6ABD23962F572648F4E1E85","5","_non-using\week1\dataset\images\train\case_116.png","2967.98"
"430F028C32AD9F569C8C1B36EFCA1F98451B934CC6ABD23962F572648F4E1E85","5","_non-using\week1\dataset_v2\images\train\case_116.png","2967.98"
"430F028C32AD9F569C8C1B36EFCA1F98451B934CC6ABD23962F572648F4E1E85","5","_non-using\week4\dataset_3class\images\train\case_116.png","2967.98"
"430F028C32AD9F569C8C1B36EFCA1F98451B934CC6ABD23962F572648F4E1E85","5","_non-using\week4\inference_full_500\_temp_images\case_116.png","2967.98"
"E99B5E46877D05C7541EAA4162CA0E1CEA04944DE8BE8290AD3077FA120885A5","5","data\500 cases with annotation\case 117\case_117.png","2558.14"
"E99B5E46877D05C7541EAA4162CA0E1CEA04944DE8BE8290AD3077FA120885A5","5","_non-using\week1\dataset\images\train\case_117.png","2558.14"
"E99B5E46877D05C7541EAA4162CA0E1CEA04944DE8BE8290AD3077FA120885A5","5","_non-using\week1\dataset_v2\images\train\case_117.png","2558.14"
"E99B5E46877D05C7541EAA4162CA0E1CEA04944DE8BE8290AD3077FA120885A5","5","_non-using\week4\dataset_3class\images\train\case_117.png","2558.14"
"E99B5E46877D05C7541EAA4162CA0E1CEA04944DE8BE8290AD3077FA120885A5","5","_non-using\week4\inference_full_500\_temp_images\case_117.png","2558.14"
"88F598CF2D7E2CC8CD1FCDE85A136CC51336E7E419799B3361593EAA42E24DBE","5","data\500 cases with annotation\case 118\case_118.png","2913.83"
"88F598CF2D7E2CC8CD1FCDE85A136CC51336E7E419799B3361593EAA42E24DBE","5","_non-using\week1\dataset\images\train\case_118.png","2913.83"
"88F598CF2D7E2CC8CD1FCDE85A136CC51336E7E419799B3361593EAA42E24DBE","5","_non-using\week1\dataset_v2\images\train\case_118.png","2913.83"
"88F598CF2D7E2CC8CD1FCDE85A136CC51336E7E419799B3361593EAA42E24DBE","5","_non-using\week4\dataset_3class\images\train\case_118.png","2913.83"
"88F598CF2D7E2CC8CD1FCDE85A136CC51336E7E419799B3361593EAA42E24DBE","5","_non-using\week4\inference_full_500\_temp_images\case_118.png","2913.83"
"AE4FD0AAB4F776E722D4F2F2D6ADC772464D6D48BC9F6F4AE6A224A52AC0423C","5","data\500 cases with annotation\case 119\case_119.png","2690.98"
"AE4FD0AAB4F776E722D4F2F2D6ADC772464D6D48BC9F6F4AE6A224A52AC0423C","5","_non-using\week1\dataset\images\val\case_119.png","2690.98"
"AE4FD0AAB4F776E722D4F2F2D6ADC772464D6D48BC9F6F4AE6A224A52AC0423C","5","_non-using\week1\dataset_v2\images\val\case_119.png","2690.98"
"AE4FD0AAB4F776E722D4F2F2D6ADC772464D6D48BC9F6F4AE6A224A52AC0423C","5","_non-using\week4\dataset_3class\images\val\case_119.png","2690.98"
"AE4FD0AAB4F776E722D4F2F2D6ADC772464D6D48BC9F6F4AE6A224A52AC0423C","5","_non-using\week4\inference_full_500\_temp_images\case_119.png","2690.98"
"1DF952AF1C01C2275C4D5685730436915675A871EF322B8F100E799DF24CCB9A","5","data\500 cases with annotation\case 12\case_12.png","2906.29"
"1DF952AF1C01C2275C4D5685730436915675A871EF322B8F100E799DF24CCB9A","5","_non-using\week1\dataset\images\val\case_12.png","2906.29"
"1DF952AF1C01C2275C4D5685730436915675A871EF322B8F100E799DF24CCB9A","5","_non-using\week1\dataset_v2\images\val\case_12.png","2906.29"
"1DF952AF1C01C2275C4D5685730436915675A871EF322B8F100E799DF24CCB9A","5","_non-using\week4\dataset_3class\images\val\case_12.png","2906.29"
"1DF952AF1C01C2275C4D5685730436915675A871EF322B8F100E799DF24CCB9A","5","_non-using\week4\inference_full_500\_temp_images\case_12.png","2906.29"
"A89E84FA2C46AE36AD9B9FE9B05BAF509CED54D6DDBEFB57A761144DFA4F054F","5","data\500 cases with annotation\case 120\case_120.png","2659.82"
"A89E84FA2C46AE36AD9B9FE9B05BAF509CED54D6DDBEFB57A761144DFA4F054F","5","_non-using\week1\dataset\images\train\case_120.png","2659.82"
"A89E84FA2C46AE36AD9B9FE9B05BAF509CED54D6DDBEFB57A761144DFA4F054F","5","_non-using\week1\dataset_v2\images\train\case_120.png","2659.82"
"A89E84FA2C46AE36AD9B9FE9B05BAF509CED54D6DDBEFB57A761144DFA4F054F","5","_non-using\week4\dataset_3class\images\train\case_120.png","2659.82"
"A89E84FA2C46AE36AD9B9FE9B05BAF509CED54D6DDBEFB57A761144DFA4F054F","5","_non-using\week4\inference_full_500\_temp_images\case_120.png","2659.82"
"8DE4843CCBA940FD387CC66A1AF55900029C072102F1180A23E2D0C92331B9EB","5","data\500 cases with annotation\case 121\case_121.png","2758.06"
"8DE4843CCBA940FD387CC66A1AF55900029C072102F1180A23E2D0C92331B9EB","5","_non-using\week1\dataset\images\train\case_121.png","2758.06"
"8DE4843CCBA940FD387CC66A1AF55900029C072102F1180A23E2D0C92331B9EB","5","_non-using\week1\dataset_v2\images\train\case_121.png","2758.06"
"8DE4843CCBA940FD387CC66A1AF55900029C072102F1180A23E2D0C92331B9EB","5","_non-using\week4\dataset_3class\images\train\case_121.png","2758.06"
"8DE4843CCBA940FD387CC66A1AF55900029C072102F1180A23E2D0C92331B9EB","5","_non-using\week4\inference_full_500\_temp_images\case_121.png","2758.06"
"0B4613AC00814DA103037FDDE0BDBF42C78A27583B1880453132355593121B05","5","data\500 cases with annotation\case 122\case_122.png","2665.77"
"0B4613AC00814DA103037FDDE0BDBF42C78A27583B1880453132355593121B05","5","_non-using\week1\dataset\images\train\case_122.png","2665.77"
"0B4613AC00814DA103037FDDE0BDBF42C78A27583B1880453132355593121B05","5","_non-using\week1\dataset_v2\images\train\case_122.png","2665.77"
"0B4613AC00814DA103037FDDE0BDBF42C78A27583B1880453132355593121B05","5","_non-using\week4\dataset_3class\images\train\case_122.png","2665.77"
"0B4613AC00814DA103037FDDE0BDBF42C78A27583B1880453132355593121B05","5","_non-using\week4\inference_full_500\_temp_images\case_122.png","2665.77"
"9003437589FC4B8184BB8665C837920B8395638BE4B435D95A991D001AFEEDE4","5","data\500 cases with annotation\case 123\case_123.png","2817.36"
"9003437589FC4B8184BB8665C837920B8395638BE4B435D95A991D001AFEEDE4","5","_non-using\week1\dataset\images\train\case_123.png","2817.36"
"9003437589FC4B8184BB8665C837920B8395638BE4B435D95A991D001AFEEDE4","5","_non-using\week1\dataset_v2\images\train\case_123.png","2817.36"
"9003437589FC4B8184BB8665C837920B8395638BE4B435D95A991D001AFEEDE4","5","_non-using\week4\dataset_3class\images\train\case_123.png","2817.36"
"9003437589FC4B8184BB8665C837920B8395638BE4B435D95A991D001AFEEDE4","5","_non-using\week4\inference_full_500\_temp_images\case_123.png","2817.36"
"561D8CB93639687A459B4ECFB8CF664AE129906D32A4FD149502A44F516D4292","5","data\500 cases with annotation\case 124\case_124.png","2446.5"
"561D8CB93639687A459B4ECFB8CF664AE129906D32A4FD149502A44F516D4292","5","_non-using\week1\dataset\images\train\case_124.png","2446.5"
"561D8CB93639687A459B4ECFB8CF664AE129906D32A4FD149502A44F516D4292","5","_non-using\week1\dataset_v2\images\train\case_124.png","2446.5"
"561D8CB93639687A459B4ECFB8CF664AE129906D32A4FD149502A44F516D4292","5","_non-using\week4\dataset_3class\images\train\case_124.png","2446.5"
"561D8CB93639687A459B4ECFB8CF664AE129906D32A4FD149502A44F516D4292","5","_non-using\week4\inference_full_500\_temp_images\case_124.png","2446.5"
"16EBF830250BA9E7CDCEE4860B4913B7D51EF572CCB05D12A44994FFD462D00F","5","data\500 cases with annotation\case 125\case_125.png","2745.78"
